"from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"9106562109","Stephen Harper","Great rally tonight in Abbotsford.

Tomorrow is Election Day, and in an election this close, every single vote matters.

I’m asking for your support for our Conservative plan to lower taxes, keep the budget balanced, create 1.3 million more Canadian jobs, and protect our fragile economy.

Can I count on you?","2015-10-19T01:52:55+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153580479212110/?type=3","9106562109_10153580479212110",5022,533,492
"9106562109","Stephen Harper","Justin and his Liberals think small businesses are just ways for rich people to avoid taxes. He will raise taxes on small businesses, forcing many of them to lay off workers.

Our Conservative Party has a plan to cut taxes for small businesses, so they can hire more people and grow our economy.

When you vote tomorrow, vote Conservative to support small businesses and protect our economy: http://cpcp.cc/Ad51Yr","2015-10-18T23:35:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153579787192110/?type=3","9106562109_10153579787192110",4975,299,1826
"9106562109","Stephen Harper","When you vote tomorrow, remember our Conservative plan to lower taxes and create 1.3 million new Canadian jobs.

Vote Conservative to protect our economy: http://cpcp.cc/Ad51Yr","2015-10-18T22:30:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153579786117110/?type=3","9106562109_10153579786117110",2112,144,371
"9106562109","Stephen Harper","The Liberals are promising job-killing payroll tax hikes if they get elected.

Vote Conservative for our plan to cut payroll taxes and protect our economy: http://cpcp.cc/Ad51Yr","2015-10-18T21:25:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153579785232110/?type=3","9106562109_10153579785232110",1905,143,640
"9106562109","Stephen Harper","Your money belongs to you, not to any bureaucrat or any politician in Ottawa.

Commit to vote Conservative to keep more of your money in your pocket: http://cpcp.cc/Ad51Yr","2015-10-10T22:51:45+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153565618882110/?type=3","9106562109_10153565618882110",1855,127,355
"9106562109","Stephen Harper","Conservatives know that you know best how to spend your money – not bureaucrats and politicians in Ottawa.

That’s why our Conservative plan – unlike the other guys - will help Canadian families and seniors hold on to more of their money.

You can find out more here: http://cpcp.cc/iE8KWi","2015-10-10T21:10:01+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153564699267110/?type=3","9106562109_10153564699267110",1481,95,259
"9106562109","Stephen Harper","18 months of parental leave. The ability to earn income without affecting your EI benefits.

A re-elected Conservative government will provide more support for new parents: http://cpcp.cc/y67D9J","2015-10-10T20:05:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153565301147110/?type=3","9106562109_10153565301147110",2114,104,465
"9106562109","Stephen Harper","I’m proud to say that our Conservative Plan to Protect the Economy has been launched: http://cpcp.cc/r2aSkc

If you support low taxes, balanced budgets, and more jobs, commit to vote Conservative today: http://cpcp.cc/Ad51Yr","2015-10-10T19:00:02+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153564697832110/?type=3","9106562109_10153564697832110",1042,78,144
"9106562109","Stephen Harper","Canadians can count on our Conservative Government to put their security first. We share the common-sense beliefs of law-abiding Canadians, and we will continue pursuing new measures to crack down on criminals and support victims.

Find out more here: http://cpcp.cc/8KqZTI","2015-10-10T17:55:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153564696557110/?type=3","9106562109_10153564696557110",2297,150,378
"9106562109","Stephen Harper","More jobs. Lower taxes. Balanced budgets. A stronger economy.

See the plan here: http://cpcp.cc/oM0oel

Then commit to vote in the advance polls, open today through Monday: http://cpcp.cc/Ad51Yr","2015-10-10T16:46:00+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153564686502110/?type=3","9106562109_10153564686502110",1197,83,191
"9106562109","Stephen Harper","A strong economy means strong families and strong communities.

Have you seen our Conservative Plan For Strong Communities yet? http://cpcp.cc/Mefa-J","2015-10-10T15:45:01+0000","photo","https://www.facebook.com/RtHonStephenHarper/photos/a.410445882109.207942.9106562109/10153564684952110/?type=3","9106562109_10153564684952110",1282,104,175
"9106562109","Stephen Harper","Starting a small business can be difficult. Our Conservative Plan supports small businesses and small business owners with lower taxes and less red tape.

But the Liberals have very different ideas. They think most small businesses are tax scams, and will hike their taxes.

Commit to vote for our plan to support small businesses and protect our economy in the advance polls, which are open today through Monday: http://cpcp.cc/Ad51Yr","2015-10-10T14:42:44+0000","video","https://www.facebook.com/RtHonStephenHarper/videos/10153564636927110/","9106562109_10153564636927110",1959,123,691
